State/Area,Year,Month,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
Alabama,1976,1,1484555,57.0,1386023,53.2,98532,6.6
Alaska,1976,1,160183,69.0,148820,64.1,11363,7.1
Arizona,1976,1,964120,59.5,865871,53.4,98249,10.2
Arkansas,1976,1,889044,57.9,824395,53.7,64649,7.3
California,1976,1,9774280,62.6,8875685,56.8,898595,9.2
Los Angeles County,1976,1,3381856,64.1,3081806,58.4,300050,8.9
Colorado,1976,1,1230966,67.2,1160104,63.3,70862,5.8
Connecticut,1976,1,1442847,64.2,1301974,57.9,140873,9.8
Delaware,1976,1,261418,62.7,240543,57.7,20875,8.0
District of Columbia,1976,1,334691,64.4,305677,58.8,29014,8.7
Florida,1976,1,3584876,55.8,3238460,50.4,346416,9.7
Georgia,1976,1,2244770,63.7,2056467,58.4,188303,8.4
Hawaii,1976,1,407457,69.9,367586,63.1,39871,9.8
Idaho,1976,1,365606,63.0,345182,59.5,20424,5.6
Illinois,1976,1,5123609,63.0,4786415,58.9,337194,6.6
Indiana,1976,1,2425346,64.0,2265849,59.8,159497,6.6
Iowa,1976,1,1329798,64.4,1272281,61.6,57517,4.3
Kansas,1976,1,1065059,65.1,1020396,62.4,44663,4.2
Kentucky,1976,1,1486550,60.5,1402625,57.0,83925,5.6
Louisiana,1976,1,1517348,56.8,1421440,53.2,95908,6.3
Maine,1976,1,474371,62.1,433260,56.7,41111,8.7
Maryland,1976,1,1899337,64.3,1777055,60.2,122282,6.4
Massachusetts,1976,1,2717096,64.8,2432377,58.0,284719,10.5
Michigan,1976,1,3952851,61.6,3562759,55.5,390092,9.9
Minnesota,1976,1,1829382,65.6,1719817,61.7,109565,6.0
Mississippi,1976,1,963611,58.8,899280,54.8,64331,6.7
Missouri,1976,1,2094063,60.5,1969511,56.9,124552,5.9
Montana,1976,1,332790,62.7,313402,59.0,19388,5.8
Nebraska,1976,1,711096,64.9,687431,62.8,23665,3.3
Nevada,1976,1,321579,71.3,291933,64.7,29646,9.2
New Hampshire,1976,1,390934,65.9,365509,61.6,25425,6.5
New Jersey,1976,1,3294120,61.5,2954259,55.1,339861,10.3
New Mexico,1976,1,481330,60.8,439744,55.5,41586,8.6
New York,1976,1,7658970,58.0,6872159,52.1,786811,10.3
New York city,1976,1,3066605,53.9,2723016,47.8,343589,11.2
North Carolina,1976,1,2590713,66.5,2424106,62.2,166607,6.4
North Dakota,1976,1,276793,62.6,267268,60.5,9525,3.4
Ohio,1976,1,4754858,61.7,4368782,56.7,386076,8.1
Oklahoma,1976,1,1186198,59.3,1116824,55.9,69374,5.8
Oregon,1976,1,1078645,62.9,976450,56.9,102195,9.5
Pennsylvania,1976,1,5122733,58.4,4710510,53.7,412223,8.0
Rhode Island,1976,1,440979,63.8,406706,58.9,34273,7.8
South Carolina,1976,1,1295867,65.3,1200437,60.5,95430,7.4
South Dakota,1976,1,308031,64.6,297972,62.5,10059,3.3
Tennessee,1976,1,1834194,59.6,1723616,56.0,110578,6.0
Texas,1976,1,5623303,63.8,5294695,60.0,328608,5.8
Utah,1976,1,517325,62.8,487063,59.1,30262,5.8
Vermont,1976,1,215575,63.6,196968,58.1,18607,8.6
Virginia,1976,1,2330159,65.9,2187531,61.9,142628,6.1
Washington,1976,1,1583070,60.9,1448543,55.8,134527,8.5
West Virginia,1976,1,710144,52.5,657179,48.6,52965,7.5
Wisconsin,1976,1,2128893,65.6,2005997,61.8,122896,5.8
